Timestamp,Name,Artist,Genre
11/9/2022 11:06:41,Don't Look Back in Anger,Oasis,Alternative Rock
11/9/2022 11:06:45,Preoccupied ,Mac DeMarco,Alternative Rock
11/9/2022 11:07:06,Stephanie Says ,The Velvet Underground ,Alternative Rock
11/9/2022 11:07:41,Brown Eyed Girl ,Van Morrison ,Alternative Rock
11/9/2022 11:08:11,505,Arctic Monkey,Alternative Rock
11/9/2022 11:08:13,Bowling Alley Carpet,Gum Disease,Alternative Rock
11/9/2022 11:08:32,Machu Picchu,The Strokes,Alternative Rock
11/9/2022 11:08:36,No. 1 Party Anthem ,Arctic Monkeys ,Alternative Rock
11/9/2022 11:08:39,Everlong,Foo Fighters,Alternative Rock
11/9/2022 11:08:48,Void,The Neighbourhood,Alternative Rock
11/9/2022 11:09:01,Aint No Rest for the Wicked,Cage the Elephant,Alternative Rock
11/9/2022 11:09:33,Television / So Far So Good,Rex Orange County,Alternative Rock
11/9/2022 11:09:35,Amber,311,Alternative Rock
11/9/2022 11:09:48,Mess Around,Cage the Elaphent,Alternative Rock
11/9/2022 11:10:05,Stick season ,Noah Kahan ,Alternative Rock
11/9/2022 11:10:07,Pool House,The Backseat Lovers,Alternative Rock
11/9/2022 11:10:10,Quarterback,Wallows,Alternative Rock
11/9/2022 11:10:16,Lavender Kiss ,The licks ,Alternative Rock
11/9/2022 11:10:21,Stubborn Love ,The lumineers,Alternative Rock
11/9/2022 11:10:40,About You ,The 1975,Alternative Rock
11/9/2022 11:11:00,Puppet Boy,DEVO,Alternative Rock
11/9/2022 11:11:09,I Melt With You,Modern English,Alternative Rock
11/9/2022 11:11:10,Sweet ,Cigarettes After Sex ,Alternative Rock
11/9/2022 11:11:15,Amazing,Rex Orange County,Alternative Rock
11/9/2022 11:11:17,My Kind of Women ,Mac Demarco ,Alternative Rock
11/9/2022 11:11:37,Good Boy,Dogbite,Alternative Rock
11/9/2022 11:12:06,Hands,Barns Courtney,Alternative Rock
11/9/2022 11:12:10,Sattelite ,Harry Styles,Alternative Rock
11/9/2022 11:12:14,Everlong,Foo Fighters,Alternative Rock
11/9/2022 11:12:36,Moonlight on the River,Mac Demarco,Alternative Rock
11/9/2022 11:12:51,Separate Ways ,Journey ,Alternative Rock
11/9/2022 11:13:02,Where is my mind?,Pixies,Alternative Rock
11/9/2022 11:14:44,Don't Speak,No Doubt,Alternative Rock
11/9/2022 11:14:52,Mr.Brightside ,The Killers,Alternative Rock
11/9/2022 11:15:18,Teenage Dirtbag,Wheatus,Alternative Rock
11/9/2022 11:16:01,99 Luftballons,Nena,Alternative Rock
11/9/2022 11:16:47,Hit In the USA ,Beat Crusaders,Alternative Rock
11/9/2022 11:17:28,Forever,Haim,Alternative Rock
11/9/2022 11:08:15,All Your,Tylers Childers,Country
11/9/2022 11:08:15,7 summers,morgan wallen,Country
11/9/2022 11:08:34,Country girl (Shake it for me) ,Luke Bryan ,Country
11/9/2022 11:08:41,Back to December ,Taylor Swift ,Country
11/9/2022 11:08:54,Feathered Indians,Tyler Childers,Country
11/9/2022 11:09:04,Dirt Road Anthem ,Jason Aldean,Country
11/9/2022 11:09:17,Cop Car ,Keith Urban,Country
11/9/2022 11:09:19,Thats My Kinda Night,Luke Bryan ,Country
11/9/2022 11:09:19,Better Together ,Luke Combs ,Country
11/9/2022 11:09:21,Though You Should Know,Morgan Wallen,Country
11/9/2022 11:09:33,Fall in Love ,Bailey Zimmerman,Country
11/9/2022 11:09:37,In Hell I'll Be in Good Company,The Dead South,Country
11/9/2022 11:09:47,Games ,Luke Bryan,Country
11/9/2022 11:09:53,Only thing that's gone,Morgan wallen,Country
11/9/2022 11:10:17,Burn Burn Burn,Zach Bryan,Country
11/9/2022 11:10:34,Life is a Highway ,Rascal Flatts ,Country
11/9/2022 11:10:37,"Quittn"" Time",Morgan Wallen,Country
11/9/2022 11:11:30,Tennessee Whiskey ,Chris Stapleton,Country
11/9/2022 11:11:57,Dear John ,Taylor Swift ,Country
11/9/2022 11:12:25,All Your'n,Tyler Childers,Country
11/9/2022 11:12:56,Thought You Should Know,Morgan Wallen,Country
11/9/2022 11:07:46,Key ,C418 (Minecraft),EDM
11/9/2022 11:09:10,Human Pills,Kap Bambino,EDM
11/9/2022 11:09:36,Little Red Corvette,Prince,EDM
11/9/2022 11:10:26,Brett Kavanaugh Levels x Lemonade Levels,Chef Suy,EDM
11/9/2022 11:10:36,Dancing Polish Cow,Dancing Cow,EDM
11/9/2022 11:10:59,Midnight city,M83,EDM
11/9/2022 11:13:51,On My Mind,Diplo,EDM
11/9/2022 11:14:09,Turn Back Time,Diplo,EDM
11/9/2022 11:19:23,Drugs from Amsterdam,Mau P,EDM
11/9/2022 11:19:50,Reaper (feat. JID) ,Boombox Cartel,EDM
11/9/2022 11:20:07,Belly Dancer,Imanbek,EDM
11/9/2022 11:20:34,Bangarang (feat. Sirah),Skrillex,EDM
11/9/2022 11:07:18,The Ballad Of Eddie Jabuley ,Hotel Ugly ,Pop
11/9/2022 11:07:47,Running on a treadmill,Oingo Boingo,Pop
11/9/2022 11:08:04,Summer of Â´69,Bryan Adams ,Pop
11/9/2022 11:08:16,illicit affairs,Taylor Swift,Pop
11/9/2022 11:08:19,Anti Hero,Taylor Swift ,Pop
11/9/2022 11:08:24,Style ,Taylor Swift ,Pop
11/9/2022 11:08:30,Only Angel,Harry Styles,Pop
11/9/2022 11:08:32,You're on your own kid,Taylor swift,Pop
11/9/2022 11:08:53,lost in paradise ,ali aklo,Pop
11/9/2022 11:09:00,Lavender Haze ,Taylor Swift ,Pop
11/9/2022 11:09:01,Lover,Taylor Swift,Pop
11/9/2022 11:09:16,My Way,Frank Sinatra,Pop
11/9/2022 11:09:25,Dont blame me ,Taylor Swift ,Pop
11/9/2022 11:09:33,Younger ,Ruel ,Pop
11/9/2022 11:09:41,The A Team,Ed Sheeran,Pop
11/9/2022 11:09:43,Powerful ,Major Lazer ,Pop
11/9/2022 11:10:03,Should've said no,Taylor Swift,Pop
11/9/2022 11:10:06,Banana boat,harry Belafonte,Pop
11/9/2022 11:10:07,Kiss Me,Sixpence None the Richer,Pop
11/9/2022 11:10:12,Fallin ,Harry Styles ,Pop
11/9/2022 11:10:16,Shivers,Ed Sheeran,Pop
11/9/2022 11:10:27,golden,harry styles,Pop
11/9/2022 11:10:36,Sunsetz ,Cigarettes After Sex,Pop
11/9/2022 11:10:42,pretty girl ,NB Ridaz,Pop
11/9/2022 11:10:53,Baby doll,Dominic fike,Pop
11/9/2022 11:10:55,Paper rings ,Taylor Swift ,Pop
11/9/2022 11:11:19,You Belong With Me,Taylor Swift,Pop
11/9/2022 11:11:35,Love. ,Kid Cudi ,Pop
11/9/2022 11:11:50,Paper Rings,Taylor Swift,Pop
11/9/2022 11:11:53,afraid to feel,LF system,Pop
11/9/2022 11:11:55,paper planes,MIA,Pop
11/9/2022 11:12:04,Fire Burning,sean kingston,Pop
11/9/2022 11:12:08,Champagne Problems ,Taylor Swift ,Pop
11/9/2022 11:12:14,favorite crime,olivia rodrigo,Pop
11/9/2022 11:12:24,love galore ,sza,Pop
11/9/2022 11:12:32,Headlines ,Drake,Pop
11/9/2022 11:12:33,Sweet Dreams ,Eurythmics ,Pop
11/9/2022 11:12:37,stay,Rihanna,Pop
11/9/2022 11:12:54,dance crip ,trueno,Pop
11/9/2022 11:13:08,Cough Syrup,Young the Giant,Pop
11/9/2022 11:13:59,music for a sushi restaurant ,harry styles ,Pop
11/9/2022 11:14:06,afraid to feel,LFSYSTEM,Pop
11/9/2022 11:14:15,telephone number,junko ohashi,Pop
11/9/2022 11:14:46,love story,Taylor swift,Pop
11/9/2022 11:15:06,Miami ,will smith,Pop
11/9/2022 11:16:12,Last Christmas,Wham!,Pop
11/9/2022 11:16:38,my favorite part,mac miller,Pop
11/9/2022 11:06:46,The Weekend,SZA,R&B
11/9/2022 11:06:55,ROS,Mac Miller,R&B
11/9/2022 11:06:57,A lonely Night ,The Weekend ,R&B
11/9/2022 11:07:23,Rockin',The Weekend ,R&B
11/9/2022 11:07:36,Rehab,brent faiyez,R&B
11/9/2022 11:07:45,Shut up My Moms Calling,Hotel Ugly,R&B
11/9/2022 11:07:54,poison,brent faiyez,R&B
11/9/2022 11:08:00,me and you,Brenton woods,R&B
11/9/2022 11:08:13,trust,brent faiyez,R&B
11/9/2022 11:08:40,sure thing,miguel,R&B
11/9/2022 11:08:47,She Knows,J Cole,R&B
11/9/2022 11:09:01,One More Light ,Linkin Park ,R&B
11/9/2022 11:09:08,infrunami,steve lacy,R&B
11/9/2022 11:09:13,Me and Your Mama,Childish Gambino,R&B
11/9/2022 11:09:17,Best Part (feat H.E.R),Daniel Ceaser,R&B
11/9/2022 11:09:29,outside,bryson tiller,R&B
11/9/2022 11:09:35,Bad Habit,Steve Lacy,R&B
11/9/2022 11:09:53,I Can Only Imagine ,MercyMe,R&B
11/9/2022 11:09:54,clouded,brent faiyez,R&B
11/9/2022 11:10:03,Stargirl Interlude,The Weekend (ft Lana Del Rey) ,R&B
11/9/2022 11:10:05,dive,ed sheeran ,R&B
11/9/2022 11:10:25,ceilings,lizzy mcalphine ,R&B
11/9/2022 11:10:28,Orion's Belt,Sabrina Claudio,R&B
11/9/2022 11:10:41,Awkward ,SZA,R&B
11/9/2022 11:10:46,Satelite ,Harry Styles ,R&B
11/9/2022 11:10:47,Alright,Kendrick Lamar,R&B
11/9/2022 11:10:48,lost,frank ocean,R&B
11/9/2022 11:10:49,Rescue ,Lauren Daigle ,R&B
11/9/2022 11:10:51,shirt,sza,R&B
11/9/2022 11:11:01,Yeah I said it,Rihanna,R&B
11/9/2022 11:11:04,Starboy ,The Weekend ,R&B
11/9/2022 11:11:12,PRIDE.,Kendrick Lamar,R&B
11/9/2022 11:11:16,like I can,sam smith,R&B
11/9/2022 11:11:16,humble,kendrick lemur,R&B
11/9/2022 11:11:23,Without You ,Riders ,R&B
11/9/2022 11:11:31,Just Like Heaven,The Cure,R&B
11/9/2022 11:11:32,Adorn ,Miguel,R&B
11/9/2022 11:11:38,Priorities ,Riders ,R&B
11/9/2022 11:11:42,loveeee song,rihanna,R&B
11/9/2022 11:11:44,Good Days ,Sza,R&B
11/9/2022 11:11:58,Space Song,Beach House ,R&B
11/9/2022 11:12:16,You Say ,Lauren Daigle ,R&B
11/9/2022 11:12:56,Die For You ,The Weekend ,R&B
11/9/2022 11:12:57,I Wish You The Best of Everything,The Ink Spots,R&B
11/9/2022 11:13:16,bad habit,Steve lacy,R&B
11/9/2022 11:13:16,bad habit,steve lacy,R&B
11/9/2022 11:14:31,novacane ,frank ocean,R&B
11/9/2022 11:15:02,Beige,Yoke love,R&B
11/9/2022 11:17:40,Until I found you,Stephen Sanches,R&B
11/9/2022 11:06:59,It Was A Good Day,Ice Cube,Rap
11/9/2022 11:07:01,Rich flex,Drake,Rap
11/9/2022 11:07:13,All Falls Down,Ye,Rap
11/9/2022 11:07:18,major distribution,drake,Rap
11/9/2022 11:07:20,Kid Cudi - Remix,Xavier Wulf,Rap
11/9/2022 11:07:26,Mr Rager,Kid Cudi,Rap
11/9/2022 11:07:27,life goes on,lil baby,Rap
11/9/2022 11:07:29,rhymes like dimes,MF DOOm,Rap
11/9/2022 11:07:41,headlines,drake,Rap
11/9/2022 11:07:43,Baby Shark,RALAN STYLES,Rap
11/9/2022 11:08:00,Ghost Town ,Kanye West,Rap
11/9/2022 11:08:02,martin and gina,polo g,Rap
11/9/2022 11:08:04,Picture Me Rollin',Tupac,Rap
11/9/2022 11:08:16,Antartica,$uicideboy$,Rap
11/9/2022 11:08:18,Gettin It,Too $hort,Rap
11/9/2022 11:08:22,2055,Sleepy Hallow,Rap
11/9/2022 11:08:24,$uicideboy$,For the Last Time,Rap
11/9/2022 11:08:28,She,Tyler the Creator ,Rap
11/9/2022 11:08:34,new magic wand,Tyler the Creator,Rap
11/9/2022 11:08:42,You Know How We Do It,Ice Cube ,Rap
11/9/2022 11:08:49,Homecoming,Kanye,Rap
11/9/2022 11:08:53,luv is dro,jack harlow,Rap
11/9/2022 11:08:59,Wet Dreams,J Cole,Rap
11/9/2022 11:09:02,family ties,Baby Keem ft. Kendrick Lamar,Rap
11/9/2022 11:09:05,way bigger,don toliver,Rap
11/9/2022 11:09:20,one beer,MFDOOM,Rap
11/9/2022 11:09:29,Faneto,Chief Keep,Rap
11/9/2022 11:09:32,No Role Modelz ,J. Cole,Rap
11/9/2022 11:09:35,Right Hand,Drake,Rap
11/9/2022 11:09:44,"God is Fair, Sexy Nasty",Mac Miller,Rap
11/9/2022 11:09:47,Yeah!,Mac Miller,Rap
11/9/2022 11:09:48,Elon Musk ,DDG,Rap
11/9/2022 11:09:51,Family Ties,Baby Keem with Kendrick Lamar,Rap
11/9/2022 11:09:55,pick up the phone,young thug,Rap
11/9/2022 11:10:02,A*****e,Mike Sherm,Rap
11/9/2022 11:10:06,4:44,Jay - Z,Rap
11/9/2022 11:10:06,To the bone,Migos ,Rap
11/9/2022 11:10:11,heartless,kanye west,Rap
11/9/2022 11:10:19,HULU,piere borne,Rap
11/9/2022 11:10:25,Hood,Mudrigo ,Rap
11/9/2022 11:10:32,Thrift Shop,Mackelmore ,Rap
11/9/2022 11:10:46,So many Tears,2pac,Rap
11/9/2022 11:10:47,6ft,Mudrigo ,Rap
11/9/2022 11:10:59,PRIDE. ,Kendrick Lamar,Rap
11/9/2022 11:11:03,rich flex,drake ,Rap
11/9/2022 11:11:09,neighborhood music,lil rob,Rap
11/9/2022 11:11:13,Middle Child,j.cole ,Rap
11/9/2022 11:11:27,Mr. Rager,Kid Cudi,Rap
11/9/2022 11:11:29,Stir fry,migos,Rap
11/9/2022 11:11:29,Frozen,Lil baby,Rap
11/9/2022 11:11:34,HONEST,Baby Keem,Rap
11/9/2022 11:11:44,butterfly effect,travis scott,Rap
11/9/2022 11:11:45,2055,Sleepy hallow,Rap
11/9/2022 11:11:48,no role modelz,j. Cole,Rap
11/9/2022 11:11:51,Hate it or Love it ,The game ,Rap
11/9/2022 11:11:53,Toot it and boot it,Yg,Rap
11/9/2022 11:12:01,Sleazy Flow ,"Sleazy World Go, ft. Lil Baby",Rap
11/9/2022 11:12:07,rich spirit ,Kendrick Lamar,Rap
11/9/2022 11:12:08,all of the lights,Kanye,Rap
11/9/2022 11:12:14,Foreign ,Shoreline Mafia,Rap
11/9/2022 11:12:15,Matt Hardy 999,"juice wrld,  trippie red",Rap
11/9/2022 11:12:16,DOOMsday,MF DOOM,Rap
11/9/2022 11:12:25,I know,big Sean,Rap
11/9/2022 11:12:32,Apologise ,Baby keem,Rap
11/9/2022 11:12:34,PUFFIN ON ZOOTIES,Future ,Rap
11/9/2022 11:12:39,Keep ya head up,2pac,Rap
11/9/2022 11:12:40,MAAD City ,Kendrick Lamar,Rap
11/9/2022 11:12:45,headband,B.bob,Rap
11/9/2022 11:12:47,16,Baby keem,Rap
11/9/2022 11:12:59,pride,kendrick,Rap
11/9/2022 11:12:59,Honest,Baby Keem,Rap
11/9/2022 11:13:19,The Bees Knees,juice wrld,Rap
11/9/2022 11:13:30,Dirge,Rav,Rap
11/9/2022 11:13:33,Home,mike dimes,Rap
11/9/2022 11:13:45,Old money,Playboi carti,Rap
11/9/2022 11:14:39,f*ck love,"xxxtentacion, trippie red",Rap
11/9/2022 11:14:56,burn,juice wrld,Rap
11/9/2022 11:15:16,dark queen,lil uzi vert,Rap
11/9/2022 11:20:49,Doja,Central Cee,Rap
11/9/2022 11:21:28,Wolves (feat. Post Malone),Big Sean,Rap
11/9/2022 11:21:51,Fight Back,Neffex,Rap